study_arm,added_steps,suite,policy_mode,n,goal,safety,timeout,collision,goal_pct,safety_pct,timeout_pct,mean_original_return,mean_min_clearance_m,goal_only_mean_path_m,goal_only_mean_sim_time_s
frozen_baseline,0,E2,all,80,78,2,0,0,97.5,2.5,0.0,112.07920849814175,0.37906545884907245,2.6443481103358257,21.0784358974359
frozen_baseline,0,E2,stochastic,40,39,1,0,0,97.5,2.5,0.0,110.44702328096886,0.3769984856247902,2.64363759093324,22.42571794871795
frozen_baseline,0,E2,deterministic,40,39,1,0,0,97.5,2.5,0.0,113.71139371531464,0.38113243207335473,2.645058629738411,19.73115384615385
frozen_baseline,0,E3,all,8,8,0,0,0,100.0,0.0,0.0,115.74278104688695,0.4597789868712425,1.8146722377433284,12.850250000000017
frozen_baseline,0,E3,stochastic,4,4,0,0,0,100.0,0.0,0.0,114.63565643182045,0.4422111511230469,1.8191164133311708,13.625
frozen_baseline,0,E3,deterministic,4,4,0,0,0,100.0,0.0,0.0,116.84990566195344,0.47734682261943817,1.810228062155486,12.075500000000034
original_reward,1499,E2,all,80,78,2,0,0,97.5,2.5,0.0,112.56928809043362,0.38123432975262406,2.653319893726921,21.12470512820513
original_reward,1499,E2,stochastic,40,39,1,0,0,97.5,2.5,0.0,111.07229775567595,0.3786641646176577,2.6504301929496874,22.495128205128207
original_reward,1499,E2,deterministic,40,39,1,0,0,97.5,2.5,0.0,114.06627842519129,0.3838044948875904,2.6562095945041544,19.754282051282054
original_reward,1499,E3,all,8,8,0,0,0,100.0,0.0,0.0,115.77295950809075,0.45943228527903557,1.814298803661757,12.82500000000001
original_reward,1499,E3,stochastic,4,4,0,0,0,100.0,0.0,0.0,114.61556037410338,0.4419754073023796,1.8140408444251388,13.549999999999997
original_reward,1499,E3,deterministic,4,4,0,0,0,100.0,0.0,0.0,116.93035864207812,0.47688916325569153,1.8145567628983754,12.100000000000023
original_reward,1500,E2,all,80,78,2,0,0,97.5,2.5,0.0,112.27789569282615,0.3804591383785009,2.651717563549254,21.112128205128208
original_reward,1500,E2,stochastic,40,39,1,0,0,97.5,2.5,0.0,110.77398425729623,0.3789650771766901,2.6621554909351333,22.51871794871795
original_reward,1500,E2,deterministic,40,39,1,0,0,97.5,2.5,0.0,113.78180712835606,0.38195319958031176,2.641279636163375,19.705538461538467
