algorithm,checkpoint_step,n_runs,n_episodes,success,sd,mean_return
DiscreteSAC,275000,5,100,0.97,0.04472135954999578,114.42067984776561
DiscreteSAC,300000,5,100,0.85,0.09999999999999999,99.92862149365192
DiscreteSAC,325000,5,100,0.9099999999999999,0.05477225575051663,109.7860461515166
DiscreteSAC,350000,5,100,0.8,0.03535533905932735,91.84540054585602
DiscreteSAC,375000,5,100,0.9800000000000001,0.027386127875258334,115.84992878802461
DiscreteSAC,400000,5,100,0.9400000000000001,0.04183300132670376,117.25635503604785
DiscreteSAC,425000,5,100,0.9800000000000001,0.027386127875258317,116.26710197030022
DiscreteSAC,450000,5,100,0.97,0.04472135954999577,115.43160079300492
DiscreteSAC,475000,5,100,0.99,0.022360679774997935,120.75675124842951
DiscreteSAC,500000,5,100,0.97,0.06708203932499371,112.36516357564429
DoubleDQN,25000,5,100,0.32999999999999996,0.07582875444051551,37.97306394964988
DoubleDQN,50000,5,100,0.53,0.05700877125495688,64.37092249407662
DoubleDQN,75000,5,100,0.72,0.08366600265340757,84.79755156432978
DoubleDQN,100000,5,100,0.8099999999999999,0.0821583836257749,94.09809453680823
DoubleDQN,125000,5,100,0.8800000000000001,0.04472135954999578,105.62525285578097
DoubleDQN,150000,5,100,0.79,0.05477225575051661,95.59578218037953
DoubleDQN,175000,5,100,0.97,0.02738612787525833,115.1816193674133
DoubleDQN,200000,5,100,0.86,0.17818529681205458,102.4049522592273
DoubleDQN,225000,5,100,0.9099999999999999,0.10246950765959602,103.21273216649786
DoubleDQN,250000,5,100,0.93,0.06708203932499372,110.23522072873607
DoubleDQN,275000,5,100,0.8800000000000001,0.07582875444051547,101.15296914801849
DoubleDQN,300000,5,100,0.79,0.08944271909999157,93.02564338191756
DoubleDQN,325000,5,100,0.9099999999999999,0.10839741694339397,108.05651043832958
DoubleDQN,350000,5,100,0.85,0.07071067811865471,95.92720367202546
DoubleDQN,375000,5,100,0.9199999999999999,0.07582875444051551,107.50554388236026
DoubleDQN,400000,5,100,0.89,0.054772255750516585,108.13251284638277
DoubleDQN,425000,5,100,0.9400000000000001,0.04183300132670374,110.2739603102912
DoubleDQN,450000,5,100,1.0,0.0,117.36412278864944
DoubleDQN,475000,5,100,0.93,0.05700877125495689,111.75046748370967
DoubleDQN,500000,5,100,0.97,0.027386127875258334,111.96100730724461
DuelingDoubleDQN,25000,5,100,0.48,0.027386127875258313,55.45945850055451
DuelingDoubleDQN,50000,5,100,0.61,0.14747881203752625,73.3320155541613
DuelingDoubleDQN,75000,5,100,0.72,0.11510864433221336,85.99717894689938
DuelingDoubleDQN,100000,5,100,0.79,0.12942179105544788,92.2812336272037
DuelingDoubleDQN,125000,5,100,0.85,0.1,98.9768458893298
DuelingDoubleDQN,150000,5,100,0.76,0.08944271909999156,92.53439433785164
DuelingDoubleDQN,175000,5,100,0.95,0.035355339059327355,113.40132682373928
DuelingDoubleDQN,200000,5,100,0.93,0.09746794344808962,111.37675285125404
DuelingDoubleDQN,225000,5,100,0.9400000000000001,0.022360679774997876,108.63594456730843
DuelingDoubleDQN,250000,5,100,0.9199999999999999,0.027386127875258286,109.95382180955691
DuelingDoubleDQN,275000,5,100,0.8800000000000001,0.06708203932499361,103.26676102690439
DuelingDoubleDQN,300000,5,100,0.86,0.108397416943394,100.31045407440797
DuelingDoubleDQN,325000,5,100,0.95,0.08660254037844382,112.75380630683262
DuelingDoubleDQN,350000,5,100,0.82,0.10954451150103317,88.96631475940777
DuelingDoubleDQN,375000,5,100,0.9400000000000001,0.08215838362577492,108.65133216819352
DuelingDoubleDQN,400000,5,100,0.8400000000000001,0.0547722557505166,103.76220325326247
DuelingDoubleDQN,425000,5,100,0.96,0.022360679774997918,112.9148330562203
DuelingDoubleDQN,450000,5,100,0.93,0.04472135954999575,108.98024369660325
DuelingDoubleDQN,475000,5,100,0.9199999999999999,0.0670820393249937,110.80766632907542
DuelingDoubleDQN,500000,5,100,0.86,0.06519202405202651,98.29011826895609
RainbowDQN,25000,5,100,0.01,0.0223606797749979,-8.860144028686099
RainbowDQN,50000,5,100,0.2,0.03535533905932738,21.75834998460409
RainbowDQN,75000,5,100,0.6799999999999999,0.135092560861063,77.62710940156617
RainbowDQN,100000,5,100,0.74,0.2162174831043965,84.1488179127378
RainbowDQN,125000,5,100,0.93,0.05700877125495687,110.52722715694036
RainbowDQN,150000,5,100,0.8699999999999999,0.1036822067666386,106.19097372480353
RainbowDQN,175000,5,100,0.99,0.02236067977499793,117.91483931093066
RainbowDQN,200000,5,100,0.97,0.0447213595499958,114.80184582291304
RainbowDQN,225000,5,100,0.8800000000000001,0.08366600265340753,99.55807059125486
RainbowDQN,250000,5,100,0.97,0.02738612787525833,115.54477532329065
RainbowDQN,275000,5,100,0.95,0.035355339059327376,110.80354601213034
RainbowDQN,300000,5,100,0.9199999999999999,0.05700877125495692,106.57636509323204
RainbowDQN,325000,5,100,0.95,0.08660254037844385,113.73631021455671
RainbowDQN,350000,5,100,0.9199999999999999,0.05700877125495692,104.01939582519519
RainbowDQN,375000,5,100,0.96,0.04183300132670378,111.61342291243996
RainbowDQN,400000,5,100,0.9,0.0353553390593274,110.06778201728073
RainbowDQN,425000,5,100,0.9800000000000001,0.027386127875258317,114.95184048327505
RainbowDQN,450000,5,100,0.97,0.02738612787525833,113.31600301142075
RainbowDQN,475000,5,100,0.9800000000000001,0.02738612787525833,118.28293453345952
RainbowDQN,500000,5,100,0.97,0.02738612787525833,112.4047817295091
SDSAC,25000,5,100,0.4,0.07905694150420949,42.76069538310102
SDSAC,50000,5,100,0.47000000000000003,0.13038404810405302,48.19838746048322
SDSAC,75000,5,100,0.82,0.11510864433221338,96.85082515924833
SDSAC,100000,5,100,0.8699999999999999,0.06708203932499367,100.874153093947
SDSAC,125000,5,100,0.97,0.04472135954999578,117.61853551718643
SDSAC,150000,5,100,0.9099999999999999,0.08215838362577488,109.4842025039239
SDSAC,175000,5,100,0.95,0.06123724356957945,113.42741437277668
SDSAC,200000,5,100,0.96,0.0651920240520265,115.13584435552346
SDSAC,225000,5,100,0.8800000000000001,0.08366600265340755,101.36349144752191
SDSAC,250000,5,100,0.95,0.035355339059327376,112.72957036222758
SDSAC,275000,5,100,0.85,0.09999999999999998,98.84435202556965
SDSAC,300000,5,100,0.86,0.06519202405202644,100.30972703608413
SDSAC,325000,5,100,0.95,0.06123724356957947,113.56781386823941
SDSAC,350000,5,100,0.8099999999999999,0.13874436925511605,91.54163202056068
SDSAC,375000,5,100,0.97,0.0447213595499958,112.40616398395147
SDSAC,400000,5,100,0.89,0.10246950765959598,110.26103223437967
SDSAC,425000,5,100,0.93,0.04472135954999575,109.70682522680993
SDSAC,450000,5,100,0.95,0.04999999999999998,112.67288160593246
SDSAC,475000,5,100,0.99,0.022360679774997918,120.64165669093163
SDSAC,500000,5,100,0.95,0.08660254037844382,109.9428924796352
